"Country","Year","Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%)","Antenatal care coverage - at least four visits (%)","Births by caesarean section (%)","Births attended by skilled health personnel (%)"
"Egypt"," 2014","80","","",""
"Egypt"," 2009-2014","","82.8","51.8","91.5"
"El Salvador"," 2016","","75.1","31.3","99.9"
"El Salvador"," 2014","81.9","","",""
"Equatorial Guinea"," 2011","20.5","","",""
"Equatorial Guinea"," 2006-2011","","66.9","6.6","68.3"
"Eritrea"," 2010","19.6","","",""
"Eritrea"," 2005-2010","","57.4","2.8","34.1"
"Estonia"," 2016","","92.2","20.3","99.4"
"Eswatini"," 2014","80.6","","",""
"Eswatini"," 2012-2014","","76.1","11.6","88.3"
"Ethiopia"," 2017","59.4","","",""
"Ethiopia"," 2011-2016","","31.8","1.9","27.7"
"Fiji"," 2015","","","","99.9"
"Fiji"," 2013","","93.6","",""
"Finland"," 2016","","","16.4",""
"Finland"," 2015","","","","99.9"
"Finland"," 2014","","98.0","",""
"France"," 2016","","99.2","19.6","97.4"
"Gabon"," 2012","33.7","","",""
"Gabon"," 2007-2012","","77.6","10.0","89.3"
"Gambia"," 2013","23.9","","",""
"Gambia"," 2008-2013","","77.6","2.0","57.2"
"Georgia"," 2015","","88.3","41.4","99.9"
"Germany"," 2016","","","30.5",""
"Germany"," 2015","","","","98.7"
"Ghana"," 2017","46.2","","",""
"Ghana"," 2009-2014","","87.3","12.8","70.8"
"Grenada"," 2016","","59.8","","99.3"
"Guatemala"," 2015","65.6","","",""
"Guatemala"," 2009-2015","","86.2","26.3","65.5"
"Guinea"," 2016","21.5","","",""
"Guinea"," 2014-2016","","","3.1",""
"Guinea"," 2013-2016","","","","72.4"
"Guinea"," 2007-2012","","56.6","",""
"Guinea-Bissau"," 2014","37.6","","",""
"Guinea-Bissau"," 2012-2014","","64.9","3.9","45.0"
"Guyana"," 2014","52.5","","",""
"Guyana"," 2012-2014","","86.7","16.9","85.7"
"Haiti"," 2017","44","","",""
"Haiti"," 2011-2017","","66.6","","41.7"
"Haiti"," 2013","","","5.4",""
"Honduras"," 2012","76","","",""
"Honduras"," 2006-2012","","88.9","18.6","82.8"
"Hungary"," 2014","","","36.4","99.2"
"Iceland"," 2016","","97.7","18.3","97.9"
"India"," 2016","72","","",""
"India"," 2010-2016","","51.2","17.2","85.7"
"Indonesia"," 2017","77.9","","",""
"Indonesia"," 2016","","","","92.6"
"Indonesia"," 2010-2013","","83.5","",""
"Indonesia"," 2007-2012","","","12.3",""
"Iran (Islamic Republic of)"," 2014","","","","99.0"
"Iran (Islamic Republic of)"," 2011","68.6","","",""
"Iran (Islamic Republic of)"," 2008-2010","","","45.6",""
"Iraq"," 2012","","","24.4","70.4"
"Iraq"," 2011","59.3","","",""
"Iraq"," 2009-2011","","49.6","",""
"Ireland"," 2015","","","31.3","99.7"
"Israel"," 2014","","","16.1",""
"Italy"," 2014","","87.3","35.0","99.9"
"Jamaica"," 2009-2011","","85.6","21.2","99.1"
"Jamaica"," 2009","82.9","","",""
"Japan"," 2015","","","","99.9"
"Japan"," 2014","","","19.7",""
"Jordan"," 2012","58","","",""
"Jordan"," 2007-2012","","94.5","28.0","99.6"
"Kazakhstan"," 2013-2015","","95.3","14.8","99.4"
"Kazakhstan"," 2011","79.6","","",""
"Kenya"," 2016","77.6","","",""
"Kenya"," 2009-2014","","","","61.8"
"Kenya"," 2009","","57.6","8.7",""
"Kiribati"," 2010","","","","98.3"
"Kiribati"," 2009","35.8","","",""
"Kiribati"," 2004-2009","","70.5","9.6",""
"Kuwait"," 2005-2015","","","","99.9"
"Kyrgyzstan"," 2012-2014","","94.6","7.4","98.4"
"Kyrgyzstan"," 2012","62.1","","",""
"Lao People's Democratic Republic"," 2012","61.3","","",""
"Lao People's Democratic Republic"," 2009-2012","","36.9","3.7","40.1"
"Latvia"," 2016","","","21.7","99.9"
"Lebanon"," 2016","","","47.1",""
"Lesotho"," 2014","76.1","","",""
"Lesotho"," 2009-2014","","74.4","9.7","77.9"
"Liberia"," 2013","37.2","","",""
"Liberia"," 2008-2013","","78.1","3.9","61.1"
"Libya"," 2013","","","","99.9"
"Libya"," 2007","29.6","","",""
"Lithuania"," 2015","","","21.9",""
"Lithuania"," 2014","","","","100.0"
"Luxembourg"," 2013","","97.5","30.5",""
"Luxembourg"," 2009","","","","99.9"
"Madagascar"," 2007-2013","","51.1","1.9","44.3"
"Madagascar"," 2009","49.6","","",""
"Malawi"," 2016","74.6","","",""
"Malawi"," 2015-2016","","","","89.8"
"Malawi"," 2010-2016","","50.6","6.1",""
"Malaysia"," 2015","","","","99.4"
"Malaysia"," 2006","","","15.7",""
"Maldives"," 2014","","","41.2","95.6"
"Maldives"," 2009","42.7","","",""
"Maldives"," 2004-2009","","85.1","",""
"Mali"," 2015","46","","",""
"Mali"," 2013-2015","","38.0","2.0","43.7"
"Malta"," 2016","","","30.7","99.8"
"Marshall Islands"," 2011","","","","90.1"
"Marshall Islands"," 2007","80.5","","",""
"Marshall Islands"," 2002-2007","","77.1","9.3",""
"Mauritania"," 2015","30.4","","",""
"Mauritania"," 2013-2015","","63.0","4.9","69.3"
"Mauritius"," 2016","","","45.4","99.8"
"Mauritius"," 2014","41.9","","",""
"Mexico"," 2015","80.9","","",""
"Mexico"," 2013-2015","","94.3","40.7","97.7"
"Micronesia (Federated States of)"," 2009","","","","100.0"
"Micronesia (Federated States of)"," 2006","","","10.5",""
"Monaco"," 2015","","","20.6",""
"Mongolia"," 2013","68.3","","",""
"Mongolia"," 2011-2013","","89.6","23.4","98.9"
"Montenegro"," 2013","34.1","","",""
"Montenegro"," 2011-2013","","86.6","19.9","99.0"
"Morocco"," 2015","","","15.2",""
"Morocco"," 2011","74.8","","",""
"Morocco"," 2006-2011","","55.3","","73.6"
"Mozambique"," 2015","50.4","","",""
"Mozambique"," 2006-2011","","50.6","3.9","54.3"
"Myanmar"," 2016","75","","",""
"Myanmar"," 2015-2016","","","","60.2"
"Myanmar"," 2010-2016","","58.6","17.1",""
"Namibia"," 2013","75.1","","",""
"Namibia"," 2008-2013","","62.5","14.4","88.2"
"Nauru"," 2007","42.5","","",""
"Nauru"," 2002-2007","","40.2","7.5","97.4"
"Nepal"," 2017","56.1","","",""
"Nepal"," 2011-2016","","69.4","9.0","58.0"
"Netherlands"," 2015","","","16.6",""
"New Zealand"," 2015","","","25.5","96.3"
"Nicaragua"," 2012","89.8","","",""
"Nicaragua"," 2006-2012","","87.8","29.7","88.0"
"Niger"," 2017","45.4","","",""
"Niger"," 2014-2015","","38.5","",""
"Niger"," 2012-2015","","","","39.7"
"Niger"," 2007-2012","","","1.4",""
"Nigeria"," 2017","26.3","","",""
"Nigeria"," 2014-2017","","","2.8",""
"Nigeria"," 2013-2017","","","","43.0"
"Nigeria"," 2008-2013","","51.1","",""
"Niue"," 2011","","","","100.0"
"Norway"," 2016","","","16.1","99.1"
"Oman"," 2016","","74.5","19.5",""
"Oman"," 2014","39.6","","","99.7"
"Pakistan"," 2013","47","","",""
"Pakistan"," 2009-2013","","","","55.0"
"Pakistan"," 2007-2013","","36.6","14.1",""
"Palau"," 2016","","","","100.0"
"Palau"," 2010","","81.0","",""
"Panama"," 2016","","","","94.6"
"Panama"," 2013","75.9","","",""
"Panama"," 2011-2013","","87.9","27.7",""
"Papua New Guinea"," 2016","","","","40.0"
"Papua New Guinea"," 2007","40.6","","",""
"Papua New Guinea"," 2003-2006","","54.9","",""
"Paraguay"," 2016","82.6","","",""
"Paraguay"," 2014-2016","","","45.9",""
"Paraguay"," 2013-2016","","","","95.5"
"Paraguay"," 2015","","77.4","",""
"Peru"," 2016","66.1","","",""
"Peru"," 2011-2016","","96.0","31.6","92.4"
"Philippines"," 2013","51.5","","",""
"Philippines"," 2008-2013","","84.3","9.3","72.8"
"Poland"," 2016","","","","99.8"
"Poland"," 2014","","","35.6",""
"Portugal"," 2016","","","","98.8"
"Portugal"," 2011","","","35.2",""
"Qatar"," 2015","","","","99.9"
"Qatar"," 2012","68.9","","",""
"Qatar"," 2010-2012","","84.5","19.5",""
"Republic of Korea"," 2015","","98.1","",""
"Republic of Korea"," 2013-2015","","","39.1","100.0"
"Republic of Moldova"," 2014","","","18.4","99.7"
"Republic of Moldova"," 2012","60.4","","",""
"Republic of Moldova"," 2010-2012","","95.4","",""
"Romania"," 2015","","","","95.2"
"Romania"," 2013","","","40.1",""
"Russian Federation"," 2014","","","","99.7"
"Russian Federation"," 2006-2011","","78.3","13.0",""
"Rwanda"," 2015","65.9","","",""
"Rwanda"," 2010-2015","","43.9","13.0","90.7"
"Saint Kitts and Nevis"," 2014","","","","100.0"
"Saint Lucia"," 2012","72.4","","",""
"Saint Lucia"," 2010-2012","","90.3","18.5","98.7"
"Saint Vincent and the Grenadines"," 2014","","","","99.0"
"Saint Vincent and the Grenadines"," 2009-2014","","72.9","",""
"Samoa"," 2014","39.4","","",""
"Samoa"," 2009-2014","","","4.6","82.5"
"San Marino"," 2016","","","27.5",""
"San Marino"," 2009","","99.5","",""
"Sao Tome and Principe"," 2014","50.3","","",""
"Sao Tome and Principe"," 2012-2014","","83.6","5.6","92.5"
"Saudi Arabia"," 2016","","","30.2",""
"Saudi Arabia"," 2013","","","","98.0"
"Senegal"," 2016","47.4","","",""
"Senegal"," 2011-2016","","53.8","5.5","58.6"
"Serbia"," 2014","25.1","","","99.9"
"Serbia"," 2012-2014","","93.9","28.8",""
"Seychelles"," 2016","","","28.2",""
"Seychelles"," 2012","","","","99.0"
"Sierra Leone"," 2013","37.5","","",""
"Sierra Leone"," 2008-2013","","76.0","2.9","59.7"
"Singapore"," 2016","","","","99.6"
"Slovakia"," 2014","","","","98.5"
"Slovakia"," 2012","","","30.3",""
"Slovenia"," 2012","","","18.9","99.8"
"Solomon Islands"," 2015","38","","",""
"Solomon Islands"," 2010-2015","","68.9","5.9","86.2"
"Somalia"," 2004-2006","","6.3","","9.4"
"South Africa"," 2016","77.9","","",""
"South Africa"," 2011-2016","","75.5","","96.7"
"South Sudan"," 2010","5.6","","",""
"South Sudan"," 2008-2010","","17.0","&lt;1.0","19.4"
"Spain"," 2014","","","27.3",""
"Sri Lanka"," 2016","74.1","","",""
"Sri Lanka"," 2015","","","33.2",""
"Sri Lanka"," 2001-2007","","92.5","","98.6"
"Sudan"," 2014","30.2","","",""
"Sudan"," 2012-2014","","50.7","9.1","77.7"
"Suriname"," 2015","","","","80.0"
"Suriname"," 2010","73.2","","",""
"Suriname"," 2008-2010","","66.8","19.0",""
"Sweden"," 2015","","","17.4",""
"Switzerland"," 2015","","","33.3",""
"Syrian Arab Republic"," 2009","53.3","","",""
"Syrian Arab Republic"," 2004-2009","","63.7","26.0","96.2"
"Tajikistan"," 2014","","","","90.3"
"Tajikistan"," 2012","50.8","","",""
"Tajikistan"," 2007-2012","","52.5","4.0",""
"Thailand"," 2016","89.2","","",""
"Thailand"," 2013-2016","","90.8","32.7","99.1"
"The former Yugoslav republic of Macedonia"," 2016","","","","99.9"
"The former Yugoslav republic of Macedonia"," 2011","22.3","","",""
"The former Yugoslav republic of Macedonia"," 2009-2011","","93.9","24.9",""
"Timor-Leste"," 2016","46.1","","",""
"Timor-Leste"," 2011-2016","","76.7","","56.7"
"Timor-Leste"," 2004-2010","","","1.7",""
"Togo"," 2014","32.1","","",""
"Togo"," 2008-2014","","57.2","6.5","44.6"
"Tonga"," 2012","47.9","","",""
"Tonga"," 2007-2012","","70.4","17.4","95.5"
"Trinidad and Tobago"," 2015","","100.0","","100.0"
"Trinidad and Tobago"," 2011","58.2","","",""
"Trinidad and Tobago"," 2007","","","18.4",""
"Tunisia"," 2012","73.2","","",""
"Tunisia"," 2009-2012","","85.1","26.7","73.6"
"Turkey"," 2013","59.7","","",""
"Turkey"," 2008-2013","","88.9","48.1","97.4"
"Turkmenistan"," 2016","75.6","","",""
"Turkmenistan"," 2013-2016","","96.4","6.3","100.0"
"Tuvalu"," 2007","41","","",""
"Tuvalu"," 2002-2007","","67.3","7.1","93.1"
"Uganda"," 2017","49.9","","",""
"Uganda"," 2011-2016","","59.9","","74.2"
"Uganda"," 2006-2011","","","5.3",""
"Ukraine"," 2014","","","","99.9"
"Ukraine"," 2012","68","","",""
"Ukraine"," 2010-2012","","87.2","12.1",""
"United Arab Emirates"," 2015","","99.9","","99.9"
"United Arab Emirates"," 2013","","","23.9",""
"United Kingdom of Great Britain and Northern Ireland"," 2016-2017","","","31.2 27.8",""
"United Kingdom of Great Britain and Northern Ireland"," 2015-2016","","","29.9 25.6",""
"United Republic of Tanzania"," 2016","52.9","","",""
"United Republic of Tanzania"," 2010-2016","","50.6","5.9","63.5"
"United States of America"," 2015","","","32.0","99.1"
"United States of America"," 2014","","92.2","",""
"Uruguay"," 2015","","96.1","39.4",""
"Uruguay"," 2014","","","","99.9"
"Uzbekistan"," 2015","","","13.6","100.0"
"Vanuatu"," 2013","50.7","","",""
"Vanuatu"," 2008-2013","","51.8","11.9","89.4"
"Venezuela (Bolivarian Republic of)"," 2016","","96.2","","96.2"
"Venezuela (Bolivarian Republic of)"," 2009","","","32.2",""
"Viet Nam"," 2014","69.7","","",""
"Viet Nam"," 2011-2014","","73.7","27.5","93.8"
"Yemen"," 2013","46.9","","",""
"Yemen"," 2008-2013","","25.1","4.8","44.7"
"Zambia"," 2014","63.8","","",""
"Zambia"," 2008-2014","","55.5","4.4","63.3"
"Zimbabwe"," 2015","85.2","","",""
"Zimbabwe"," 2010-2015","","75.7","5.8","78.1"
